Rank,School Name,Annual ROI,Total 4 Year Cost,Graduation Rate,Typical Years to Graduate,Average Loan Amount
393,Yale University(Private),6.5,251000,96,4,19700
393,Yeshiva University(Private),6.5,223000,85,4,30800
411,"Cameron University - Lawton, OK(In-State)",6.4,60900,24,5,22200
411,Columbia University(Private),6.4,261000,95,4,31800
411,Cooper Union for The Advancement of Science and Art(Private),6.4,237000,84,4,19300
411,Dallas Baptist University(Private),6.4,139000,55,4,46300
411,Eastern Kentucky University(In-State),6.4,77300,42,5,24100
411,Georgia Southern University(In-State),6.4,89900,51,5,24700
411,Illinois Institute of Technology (IIT)(Private),6.4,224000,65,5,26300
411,Kean University(In-State),6.4,110000,48,5,36400
411,Langston University(In-State),6.4,69500,4,4,30700
411,Pennsylvania State University (Penn State) - Erie-Behrend College(Out-of-State),6.4,153000,69,5,33900
411,San Francisco State University (SFSU)(Out-of-State),6.4,143000,50,5,22400
411,Santa Clara University(Private),6.4,243000,85,4,29400
411,Shepherd University(In-State),6.4,77900,40,5,35200
411,Southeastern Louisiana University(In-State),6.4,72000,37,5,18700
411,Southwest Missouri State University (SMSU)(In-State),6.4,78500,55,5,25500
411,Temple University(In-State),6.4,122000,69,5,34000
411,"University of California - San Diego (UCSD), Warren College(Out-of-State)",6.4,217000,86,4,22600
411,University of Minnesota - Crookston Campus(In-State),6.4,90200,48,4,27400
411,University of Minnesota - Crookston Campus(Out-of-State),6.4,90200,48,4,27400
411,University of Northern Colorado(In-State),6.4,84400,46,5,24500
411,University of Oklahoma(Out-of-State),6.4,146000,67,5,30200
411,Warner Pacific College(Private),6.4,129000,41,4,26700
411,Westfield State University(In-State),6.4,85700,63,4,27100
434,Bridgewater State College(In-State),6.3,92800,59,5,31200
434,Central Michigan University(In-State),6.3,89100,56,5,27800
434,Felician College(Private),6.3,185000,36,5,29500
434,Fitchburg State College(Out-of-State),6.3,108000,57,5,25900
434,New Mexico State University - Main Campus(Out-of-State),6.3,129000,46,5,20000
434,North Carolina A&T State University(Out-of-State),6.3,113000,48,5,27200
434,SUNY - College at Old Westbury(Out-of-State),6.3,121000,37,5,22700
434,SUNY - College at Oneonta(In-State),6.3,88000,73,4,24600
434,Salem State University(In-State),6.3,91400,46,5,27200
434,Southern University and A&M College(Out-of-State),6.3,89900,32,5,27700
434,The College of New Jersey (TCNJ)(Out-of-State),6.3,165000,87,4,39100
434,Thomas More College(Private),6.3,155000,46,4,30000
434,University of Hawaii at Manoa(In-State),6.3,101000,56,5,26300
434,University of Missouri - St. Louis Campus(In-State),6.3,94900,42,5,20100
434,University of North Dakota(Out-of-State),6.3,125000,55,5,36300
434,University of Tennessee(In-State),6.3,111000,69,5,26000
434,University of Washington (UW) - Main Campus(Out-of-State),6.3,187000,84,4,23600
434,West Virginia University (WVU) - Main Campus(Out-of-State),6.3,129000,57,5,29700
452,Appalachian State University(In-State),6.2,74700,70,5,22200
452,"Bowling Green State University - Bowling Green, OH(In-State)",6.2,94800,55,5,28900
452,Brown University(Private),6.2,247000,96,4,28500
452,California State University - Stanislaus(Out-of-State),6.2,129000,53,5,20800
452,Mesa State College(In-State),6.2,82000,33,5,33200
452,Millersville University of Pennsylvania(In-State),6.2,92900,64,5,31400
452,Minnesota State University - Moorhead Campus(In-State),6.2,76600,42,5,35800
452,North Carolina School of the Arts (NCSA)(In-State),6.2,87500,59,4,31900
452,Northwest Missouri State University(In-State),6.2,70400,50,5,24600
452,SUNY - Institute of Technology (SUNYIT)(Out-of-State),6.2,130000,43,5,26300
452,San Diego State University (SDSU) - Main Campus(Out-of-State),6.2,148000,66,5,23900
452,South Dakota State University (SDSU)(Out-of-State),6.2,98700,57,5,29500
452,St. Mary's College of Maryland(In-State),6.2,116000,81,4,22500
452,Texas A&M University - Corpus Christi Campus(Out-of-State),6.2,116000,38,5,27600
452,Texas Woman's University(Out-of-State),6.2,114000,44,5,20800
452,University of Alabama - Birmingham Campus(In-State),6.2,93200,56,5,27000
452,University of Arkansas - Fort Smith Campus(In-State),6.2,67200,26,5,14600
452,University of Delaware(Out-of-State),6.2,175000,79,4,34400
452,University of Idaho(Out-of-State),6.2,133000,58,5,27200
452,University of Memphis (U of M)(In-State),6.2,94400,44,5,22300
452,University of Michigan - Flint Campus(In-State),6.2,92700,34,5,25500
452,University of Montana(In-State),6.2,74800,48,5,24500
452,University of South Alabama(Out-of-State),6.2,106000,38,5,36400
452,University of South Florida - St. Petersburg Campus(In-State),6.2,81500,32,5,35300
452,University of Wisconsin (UW) - River Falls Campus(In-State),6.2,72400,54,5,27200
452,Villanova University(Private),6.2,239000,89,4,32400
452,West Chester University(In-State),6.2,103000,67,4,33500
479,Alderson-Broaddus College(Private),6.1,136000,45,4,27000
479,California State University - Fullerton (CSUF)(Out-of-State),6.1,142000,56,5,21800
479,Case Western Reserve University(Private),6.1,235000,81,4,26400
479,Central Connecticut State University(Out-of-State),6.1,141000,52,5,28300
479,Christopher Newport University(In-State),6.1,105000,68,4,29500
479,Columbus State University(In-State),6.1,79700,32,5,24500
479,"Concordia University - Saint Paul, MN(Private)",6.1,138000,46,5,32400
479,Florida Institute of Technology (Florida Tech)(Private),6.1,217000,55,4,32700
479,"Lincoln College - Lincoln, IL(Private)",6.1,120000,26,N/A,25600
479,Molloy College(Private),6.1,177000,70,5,27000
479,Northwestern State University(In-State),6.1,75400,38,5,23500
479,Purdue University - Calumet Campus(Out-of-State),6.1,119000,31,5,22800
479,Rochester Institute of Technology (RIT)(Private),6.1,194000,63,5,38300
479,Rutgers University - Newark Campus(Out-of-State),6.1,177000,66,5,25700
479,SUNY - Purchase College(In-State),6.1,97700,67,4,26100
479,Southwestern Oklahoma State University(Out-of-State),6.1,97300,34,5,15100
479,University of Central Arkansas(In-State),6.1,77300,45,5,26700
479,University of Louisiana - Monroe Campus(Out-of-State),6.1,115000,41,5,19500
479,University of North Carolina at Charlotte (UNCC)(Out-of-State),6.1,129000,55,5,25900
479,University of South Carolina - Main Campus(In-State),6.1,101000,73,4,28200
479,University of Tennessee at Chattanooga (UTC)(In-State),6.1,84900,40,5,21100
479,University of Utah(Out-of-State),6.1,156000,62,5,32900
479,University of Wisconsin (UWW) - Whitewater(Out-of-State),6.1,99800,58,5,27700
479,Washington and Lee University(Private),6.1,237000,88,4,33800
479,Wichita State University(Out-of-State),6.1,110000,44,5,22300
504,Arizona State University (ASU)(Out-of-State),6,154000,63,4,25200
504,Bucknell University(Private),6,248000,89,4,30500
504,Coppin State University (CSU)(In-State),6,79000,18,5,23500
504,Eastern Oregon University(In-State),6,84600,34,5,25000
504,Emporia State University(In-State),6,69200,39,5,22900
504,Georgetown University - Washington D.C.(Private),6,254000,95,4,25100
504,Humboldt State University(In-State),6,92200,44,5,22700
504,Indiana University-Purdue University - Fort Wayne (IPFW)(In-State),6,91600,26,5,23700
504,Johns Hopkins University(Private),6,250000,93,4,25800
504,Massachusetts College of Art and Design(In-State),6,109000,70,4,38000
504,Montana State University - Billings Campus(In-State),6,71800,24,6,21200
504,Montana State University - Main Campus(Out-of-State),6,136000,50,5,27000
504,Oklahoma Panhandle State University(In-State),6,64800,17,4,19000
504,Oklahoma Panhandle State University(Out-of-State),6,64800,17,4,19000
504,Presentation College(Private),6,119000,41,4,33300
504,"Technical Career Institute - Miami, FL(Out-of-State)",6,116000,51,5,33200
504,Troy University(Out-of-State),6,99300,35,5,27400
504,University at Buffalo (UB)(Out-of-State),6,147000,72,4,34100
504,University of Mary(Private),6,99000,46,5,29600
504,University of Mary Washington(Out-of-State),6,150000,73,4,28600
504,University of Minnesota - Morris Campus(In-State),6,92800,67,4,30500
504,University of Minnesota - Morris Campus(Out-of-State),6,92800,67,4,30500
504,University of Notre Dame(Private),6,245000,96,4,25300
504,University of Virginia (UVA) - Main Campus(Out-of-State),6,220000,94,4,29300
504,University of Wisconsin (UW) - Stevens Point Campus(In-State),6,68000,60,5,24000
504,Vaughn College of Aeronautics and Technology(Private),6,168000,39,5,11800
504,Western Carolina University(In-State),6,75400,58,4,24200
531,Arkansas State University (ASU)(In-State),5.9,82500,39,5,22300
531,Bemidji State University (BSU)(Out-of-State),5.9,76600,46,5,32000
531,Bemidji State University (BSU)(In-State),5.9,76600,46,5,32000
531,Bowie State University (BSU)(Out-of-State),5.9,124000,33,5,26400
531,Eastern Illinois University(In-State),5.9,95700,59,5,28900
531,Louisiana State University and Agricultural & Mechanical College(Out-of-State),5.9,163000,67,5,26000
531,McNeese State University(Out-of-State),5.9,116000,41,5,19700
531,"Miami University - Oxford, OH(Out-of-State)",5.9,184000,79,4,30800
531,Montclair State University(Out-of-State),5.9,148000,64,5,33200
531,Nicholls State University(In-State),5.9,78600,40,5,20400
531,Northern Kentucky University (NKU)(Out-of-State),5.9,112000,36,5,23200
531,Oklahoma Christian University(Private),5.9,122000,47,5,28600
531,Pennsylvania College of Technology(In-State),5.9,121000,46,4,40500
531,Pennsylvania State University (Penn State) - Harrisburg Campus(Out-of-State),5.9,153000,67,5,32800
531,SUNY - College of Technology at Alfred(Out-of-State),5.9,120000,48,4,31300
531,Sonoma State University(Out-of-State),5.9,141000,55,5,23400
531,Texas A&M University - Kingsville Campus(Out-of-State),5.9,129000,35,5,24700
531,Texas State University - San Marcos Campus(Out-of-State),5.9,121000,55,5,24400
531,Tuskegee University(Private),5.9,137000,47,5,24100
531,University of Arkansas - Little Rock Campus(In-State),5.9,89700,27,5,22600
531,University of Arkansas - Main Campus(Out-of-State),5.9,138000,62,5,27800
531,University of Massachusetts (UMass) - Amherst Campus(Out-of-State),5.9,167000,75,4,29200
531,University of Pittsburgh - Johnstown Campus(In-State),5.9,103000,51,5,32700
531,University of South Dakota(Out-of-State),5.9,90800,56,5,28100
531,University of Wisconsin (UW) - La Crosse Campus(Out-of-State),5.9,103000,68,5,26900
531,Western Connecticut State University(Out-of-State),5.9,142000,43,5,57700
531,Worcester State University(Out-of-State),5.9,117000,53,5,27800
531,"York College - York, PA(Private)",5.9,121000,61,5,43100
559,Cleveland State University(Out-of-State),5.8,115000,39,5,25900
559,Fairmont State University(In-State),5.8,70100,33,5,22800
559,"Hamilton College - Clinton, NY(Private)",5.8,243000,91,4,14800
559,Kansas State University (KSU)(Out-of-State),5.8,139000,59,5,25500
559,Lafayette College(Private),5.8,243000,90,4,29100
559,Middle Tennessee State University (MTSU)(In-State),5.8,83200,46,5,22900
559,Minot State University(In-State),5.8,65100,40,5,20400
559,Minot State University(Out-of-State),5.8,65100,40,5,20400
559,New York Institute of Technology (NYIT)(Private),5.8,198000,45,5,27000
559,Oklahoma State University (OSU) - Main Campus(Out-of-State),5.8,138000,61,5,23800
559,Regent University(Private),5.8,114000,50,5,27200
559,"Regis University - Denver, CO(Private)",5.8,188000,61,4,31200
559,SUNY - New Paltz(In-State),5.8,87100,74,4,24600
559,Truman State University(Out-of-State),5.8,104000,71,4,23600
559,University of Great Falls(Private),5.8,134000,39,4,43000
559,University of Illinois at Chicago(Out-of-State),5.8,167000,60,5,25900
559,University of North Texas (UNT)(Out-of-State),5.8,118000,50,5,23200
559,University of South Carolina - Upstate Campus(In-State),5.8,91600,38,5,24400
559,University of South Florida - Main Campus(Out-of-State),5.8,126000,67,5,30000
559,University of Southern Indiana(In-State),5.8,75500,41,5,28600
559,University of Texas (UT) - Austin(Out-of-State),5.8,201000,81,5,22600
559,University of Texas at El Paso (UTEP)(Out-of-State),5.8,130000,38,5,17700
559,University of Toledo(Out-of-State),5.8,134000,44,5,26300
559,Virginia Commonwealth University (VCU)(In-State),5.8,113000,59,5,31300
559,Western Washington University(Out-of-State),5.8,136000,72,5,23000
584,Arkansas Tech University(Out-of-State),5.7,85500,45,5,20900
584,Austin Peay State University(In-State),5.7,88000,37,5,22400
584,Bryant University(Private),5.7,218000,78,4,46200
584,California State University - San Bernardino (CSUSB)(Out-of-State),5.7,127000,48,5,19000
584,Central Washington University (CWU)(Out-of-State),5.7,138000,53,5,24200
584,Claremont McKenna College(Private),5.7,253000,90,4,32100
584,Clemson University(Out-of-State),5.7,185000,82,4,30500
584,Colgate University(Private),5.7,245000,92,4,23900
584,Jacksonville State University (JSU)(In-State),5.7,81700,30,5,28000
584,Keene State College(In-State),5.7,100000,63,4,38300
584,Mid-America Christian University(Private),5.7,112000,31,4,26300
584,Murray State University(In-State),5.7,76600,52,5,30200
584,"Oakland University - Rochester Hills, MI(Out-of-State)",5.7,141000,46,5,22100
584,Ohio University - Main Campus(Out-of-State),5.7,136000,67,4,29500
584,SUNY - College at Oswego(In-State),5.7,89100,63,4,28000
584,SUNY - Geneseo(Out-of-State),5.7,127000,78,4,26000
584,Salisbury University(Out-of-State),5.7,124000,66,4,25700
584,Southern Connecticut State University (SCSU)(In-State),5.7,92700,53,5,29700
584,"Southwestern College - Winfield, KS(Private)",5.7,151000,54,4,34800
584,Stephen F. Austin State University (SFA)(In-State),5.7,90100,44,5,28100
584,Tennessee Technological University (TTU)(Out-of-State),5.7,153000,49,5,18900
584,The Citadel - Military College of South Carolina(Out-of-State),5.7,181000,69,4,38800
584,University of Cincinnati (UC)(Out-of-State),5.7,171000,60,5,27200
584,University of Connecticut (UConn) - Main Campus(Out-of-State),5.7,189000,81,4,29000
584,University of Kansas(Out-of-State),5.7,152000,60,5,27300
584,University of Nebraska - Lincoln(Out-of-State),5.7,144000,67,5,24000
584,University of Southern Mississippi (USM)(In-State),5.7,80600,48,5,27800
584,University of Texas at San Antonio (UTSA)(Out-of-State),5.7,119000,31,5,26100
584,University of West Florida (UWF)(In-State),5.7,79000,51,5,23100
584,University of Wisconsin (UW) - Madison(Out-of-State),5.7,165000,84,4,29600
584,Walla Walla University(Private),5.7,145000,56,5,32800
584,Washington State University (WSU)(Out-of-State),5.7,164000,67,5,28100
584,Williams College(Private),5.7,252000,95,4,21700
584,Winona State University(Out-of-State),5.7,106000,57,5,36400
584,Wright State University - Main Campus(Out-of-State),5.7,123000,39,5,28300
619,Boston College(Private),5.6,248000,91,4,18000
619,California State University - Dominguez Hills (CSUDH)(Out-of-State),5.6,134000,32,6,15600
619,California State University - Los Angeles (CSULA)(Out-of-State),5.6,136000,41,6,14500
619,Cardinal Stritch University(Private),5.6,159000,47,5,21600
619,Fairfield University(Private),5.6,237000,80,4,39000
619,Florida International University (FIU)(Out-of-State),5.6,142000,54,5,23000
619,Gonzaga University(Private),5.6,199000,83,4,29000
619,Idaho State University (ISU)(Out-of-State),5.6,133000,33,5,24000
619,Indiana University (IU) - South Bend(In-State),5.6,79200,26,5,20000
619,Indiana University of Pennsylvania (IUP)(In-State),5.6,96500,53,5,33100
619,Marquette University(Private),5.6,198000,79,4,36700
619,Oregon State University (OSU) - Main Campus(Out-of-State),5.6,163000,63,5,26200
619,Pennsylvania State University (Penn State) - Main Campus(Out-of-State),5.6,187000,86,4,36200
619,Rowan University(Out-of-State),5.6,133000,67,5,30900
619,Saint Leo University(Private),5.6,138000,45,5,27100
619,Sam Houston State University(Out-of-State),5.6,116000,53,5,25800
619,Shawnee State University(In-State),5.6,86200,31,5,30100
619,Southeastern Oklahoma State University(Out-of-State),5.6,94500,29,5,14600
619,Texas Southern University(In-State),5.6,98900,16,5,26600
619,Towson University(Out-of-State),5.6,141000,68,5,28100
619,University of Arizona(Out-of-State),5.6,174000,60,4,25100
619,University of Massachusetts (UMass) - Dartmouth Campus(Out-of-State),5.6,154000,47,5,26800
619,University of Missouri - Columbia(Out-of-State),5.6,152000,69,4,29200
619,University of Nevada - Reno (UNR)(Out-of-State),5.6,146000,55,5,34800
619,Vermont Technical College(Out-of-State),5.6,142000,55,5,37000
644,Armstrong Atlantic State University (AASU)(In-State),5.5,95500,30,5,22800
644,Bradley University(Private),5.5,171000,74,4,29900
644,California State University - Bakersfield (CSUB)(Out-of-State),5.5,134000,41,5,18200
644,California State University - San Marcos (CSUSM)(Out-of-State),5.5,140000,49,5,22800
644,D'Youville College(Private),5.5,152000,44,5,38000
644,Delaware State University(In-State),5.5,87100,43,5,29800
644,Drexel University(Private),5.5,251000,67,5,43500
644,Eastern Nazarene College(Private),5.5,159000,47,4,29400
644,Eastern New Mexico University - Main Campus(Out-of-State),5.5,87800,28,5,18400
644,Fort Lewis College(In-State),5.5,91100,38,5,25200
644,Indiana University (IU) - New Albany(In-State),5.5,78800,32,5,21300
644,"Lake Superior State University - Sault Ste Marie, MI(In-State)",5.5,88300,46,5,22000
644,Mississippi State University (MSU)(Out-of-State),5.5,132000,60,5,26900
644,Pacific Union College (PUC)(Private),5.5,161000,46,4,35100
644,Rockhurst University(Private),5.5,186000,69,4,26800
644,Tarleton State University (TSU)(Out-of-State),5.5,107000,45,5,38500
644,The College of William and Mary(Out-of-State),5.5,210000,90,4,27400
644,The Richard Stockton College of New Jersey(In-State),5.5,116000,67,4,35100
644,University of California - Los Angeles (UCLA)(Out-of-State),5.5,224000,91,4,25000
644,University of Colorado at Colorado Springs(Out-of-State),5.5,129000,47,5,28000
644,University of Florida (UF)(Out-of-State),5.5,169000,88,4,23400
644,University of Michigan - Ann Arbor(Out-of-State),5.5,218000,91,4,24700
644,University of Missouri - Kansas City (UMKC)(Out-of-State),5.5,147000,52,5,27100
644,University of New Orleans (UNO)(Out-of-State),5.5,134000,34,5,19900
644,University of North Carolina at Wilmington (UNCW)(In-State),5.5,82600,71,4,22800
644,Vanderbilt University(Private),5.5,247000,93,4,29600
644,William Paterson University(Out-of-State),5.5,141000,51,5,28000
671,Auburn University - Montgomery(In-State),5.4,72300,22,5,23400
671,Clayton State University(Out-of-State),5.4,114000,33,5,29500
671,Florida Atlantic University (FAU)(Out-of-State),5.4,137000,46,5,24900
671,Grand Valley State University(In-State),5.4,88000,65,5,26100
671,Kentucky State University(In-State),5.4,72800,20,5,27100
671,"Loyola University - Baltimore, MD(Private)",5.4,237000,82,4,35700
671,Marshall University(In-State),5.4,76800,44,5,24400
671,Missouri Western State University(In-State),5.4,73100,36,5,24300
671,Northeastern University(Private),5.4,237000,82,5,25400
671,Northern Illinois University (NIU)(Out-of-State),5.4,151000,50,5,30300
671,Saint Mary's College of California(Private),5.4,235000,69,4,34400
671,"Union College - Schenectady, NY(Private)",5.4,245000,86,4,22800
671,University at Brockport(In-State),5.4,85200,68,4,29500
671,University of Akron - Main Campus(Out-of-State),5.4,131000,42,5,29500
671,University of California - Irvine (UCI)(Out-of-State),5.4,218000,86,4,21300
671,University of Dayton(Private),5.4,201000,76,4,29100
671,University of Iowa (UI)(Out-of-State),5.4,161000,70,4,28400
671,University of Louisiana (UL) at Lafayette(Out-of-State),5.4,123000,48,5,19500
671,University of Nevada - Las Vegas (UNLV)(Out-of-State),5.4,144000,39,5,21500
671,University of North Alabama (UNA)(In-State),5.4,69100,39,5,17900
671,University of Pittsburgh - Main Campus(Out-of-State),5.4,168000,82,4,37600
671,University of San Francisco (USF)(Private),5.4,237000,70,4,35000
671,University of Wisconsin (UW) - Oshkosh Campus(Out-of-State),5.4,102000,54,5,25800
671,University of Wisconsin (UWM) - Milwaukee(Out-of-State),5.4,130000,44,5,30000
671,Washburn University(Out-of-State),5.4,99900,34,5,21800
696,Alabama A&M University (AAMU)(Out-of-State),5.3,111000,35,5,29700
696,Albertus Magnus College(Private),5.3,193000,50,4,31700
696,Cedarville University(Private),5.3,141000,70,4,31900
696,Colorado State University (CSU)(Out-of-State),5.3,158000,65,5,26500
696,DePaul University(Private),5.3,200000,71,4,27900
696,Gwynedd-Mercy University(Private),5.3,170000,60,5,45200
696,Harding University(Private),5.3,108000,63,4,28400
696,Hawaii Pacific University(Private),5.3,148000,42,5,19700
696,Hofstra University(Private),5.3,220000,60,4,41400
696,Illinois State University(Out-of-State),5.3,136000,72,5,30200
696,Kean University(Out-of-State),5.3,136000,48,5,36400
696,Northwestern Oklahoma State University(In-State),5.3,58800,34,5,16600
696,"Pace University - New York, NY(Private)",5.3,232000,55,4,36500
696,SUNY - College at Plattsburgh(In-State),5.3,87200,61,4,26100
696,"Saint John's University (SJU) - Collegeville, MN(Private)",5.3,198000,80,4,37100
696,Tufts University(Private),5.3,249000,92,4,29900
696,University of Nebraska at Omaha(Out-of-State),5.3,122000,45,5,20600
696,University of Rhode Island (URI)(Out-of-State),5.3,172000,59,4,24600
696,University of Texas at Tyler(Out-of-State),5.3,127000,45,5,22200
696,University of Wisconsin (UW) - Superior Campus(In-State),5.3,73800,43,5,25600
716,Boise State University (BSU)(Out-of-State),5.2,132000,36,5,23800
716,College of the Holy Cross(Private),5.2,236000,92,4,32300
716,Evergreen State College(In-State),5.2,89600,56,4,23200
716,Goldey-Beacom College(Private),5.2,141000,47,4,24600
716,Hampton University(Private),5.2,139000,66,5,31700
716,Iona College(Private),5.2,201000,58,4,33600
716,Lincoln University of Pennsylvania(In-State),5.2,94000,41,5,32200
716,Mayville State University(In-State),5.2,66700,42,5,27800
716,New Jersey City University(Out-of-State),5.2,143000,32,5,20700
716,New Mexico Highlands University(In-State),5.2,66200,17,5,20300
716,Northwestern University - Kellogg School of Management(Private),5.2,258000,93,4,22800
716,Ohio State University (OSU) - Main Campus(Out-of-State),5.2,167000,83,4,28700
716,Old Dominion University(Out-of-State),5.2,154000,52,5,29000
716,Paul Quinn College(Private),5.2,90700,4,6,23400
716,Ramapo College of New Jersey(Out-of-State),5.2,153000,72,4,33800
716,Saint Martin's University(Private),5.2,179000,48,5,28600
716,Saint Mary's University of Minnesota(Private),5.2,162000,65,4,37100
716,Slippery Rock University(In-State),5.2,89700,67,4,30600
716,Southern Illinois University (SIU) - Edwardsville Campus(Out-of-State),5.2,136000,50,5,25400
716,Swarthmore College(Private),5.2,246000,94,4,28300
716,University of Kentucky (UK)(Out-of-State),5.2,146000,61,5,29500
716,University of North Carolina at Greensboro (UNCG)(In-State),5.2,75200,56,5,24200
716,University of Richmond(Private),5.2,235000,84,4,26600
716,University of Southern California (USC)(Private),5.2,254000,91,4,28900
716,University of Southern Maine (USM)(In-State),5.2,92900,32,5,28400
716,"University of St. Thomas - Houston, TX(Private)",5.2,168000,52,4,24700
716,"University of St. Thomas - St Paul, MN(Private)",5.2,198000,72,4,39100
716,Wake Forest University(Private),5.2,246000,88,4,38100
716,"Wayne State University - Detroit, MI(Out-of-State)",5.2,145000,34,5,22900
716,West Georgia College(In-State),5.2,86000,41,5,25900
746,Auburn University(Out-of-State),5.1,175000,71,5,31300
746,Ball State University (BSU)(In-State),5.1,90200,59,5,29400
746,"Dominican College - Orangeburg, NY(Private)",5.1,162000,39,5,24300
746,"East Central University - Ada, OK(Out-of-State)",5.1,87400,34,5,19000
746,George Washington University (GWU)(Private),5.1,249000,79,4,29200
746,Kent State University (KSU)(In-State),5.1,101000,55,5,30200
746,Longwood University(In-State),5.1,98200,66,4,28400
746,Michigan State University (MSU)(Out-of-State),5.1,185000,79,4,28200
746,Morgan State University(Out-of-State),5.1,128000,32,5,29100
746,Polytechnic Institute of New York University (NYU-Poly)(Private),5.1,259000,83,4,36300
746,Rivier College(Private),5.1,171000,51,4,41600
746,Shorter University - Riverdale and Rome Campus(Private),5.1,132000,45,4,26300
746,Texas A&M University - Commerce Campus(Out-of-State),5.1,112000,52,5,25100
746,Trinity University(Private),5.1,198000,81,4,34900
746,University of Arkansas - Monticello Campus(In-State),5.1,66600,28,5,19900
746,University of California - Santa Barbara (UCSB)(Out-of-State),5.1,229000,81,4,24800
746,University of Georgia (UGA)(Out-of-State),5.1,164000,85,4,24700
746,University of New Mexico (UNM)(Out-of-State),5.1,137000,48,5,22900
746,University of The Sciences in Philadelphia (USP)(Private),5.1,215000,74,4,45600
746,Western Illinois University(In-State),5.1,100000,54,5,31800
766,Bridgewater State College(Out-of-State),5,117000,59,5,31200
766,Christian Brothers University(Private),5,155000,55,5,28600
766,"Concordia University - Austin, TX(Private)",5,156000,32,5,28000
766,Frostburg State University(Out-of-State),5,124000,49,5,34600
766,Holy Family University(Private),5,171000,56,4,32000
766,Holy Names College(Private),5,200000,50,5,31700
766,Howard University(Private),5,168000,60,4,31900
766,Indiana Wesleyan University (IWU)(Private),5,140000,63,4,28100
766,Louisiana College(Private),5,95700,47,5,24400
766,Missouri Southern State University (MSSU)(Out-of-State),5,81900,37,5,20900
766,Newman University(Private),5,143000,48,5,24000
766,Notre Dame de Namur University (NDNU)(Private),5,199000,53,4,27900
766,Pennsylvania College of Technology(Out-of-State),5,144000,46,4,40500
766,Salem State University(Out-of-State),5,116000,46,5,27200
766,"Seton Hall University - South Orange, NJ(Private)",5,204000,66,4,41700
766,Shippensburg University of Pennsylvania(Out-of-State),5,131000,55,4,34500
766,Southeast Missouri State University(In-State),5,78000,51,5,24800
766,Southern Adventist University(Private),5,124000,52,5,35700
766,"Union College - Lincoln, NE(Private)",5,129000,49,5,21300
766,University of California - Davis (UC Davis)(Out-of-State),5,227000,83,5,22700
766,University of Central Missouri(Out-of-State),5,100000,53,5,27000
766,University of Colorado - Boulder (CU)(Out-of-State),5,207000,70,4,34900
766,University of St. Francis(Private),5,163000,56,4,27900
766,University of Washington - Tacoma Campus(Out-of-State),5,190000,55,4,21400
766,University of the Pacific (UOP)(Private),5,232000,61,4,29900
766,Washington University in St. Louis(Private),5,256000,95,4,24000
766,Western New England College(Private),5,196000,59,4,43700
766,Westfield State University(Out-of-State),5,110000,63,4,27100
766,"Westminster College - Fulton, MO(Private)",5,142000,66,4,33700
766,Winston-Salem State University(Out-of-State),5,107000,46,5,25800
796,American University - Washington D.C.(Private),4.9,232000,82,4,27400
796,Angelo State University(Out-of-State),4.9,112000,30,5,22900
796,Baker University(Private),4.9,159000,58,4,28800
796,Catholic University of America(Private),4.9,227000,67,4,38900
796,Clarion University of Pennsylvania(In-State),4.9,91800,50,5,31600
796,"Doane College - Crete, NE(Private)",4.9,158000,59,4,27500
796,Drake University(Private),4.9,181000,78,4,31200
796,Florida State University (FSU)(Out-of-State),4.9,147000,79,4,25700
796,Immaculata University(Private),4.9,199000,61,4,45300
796,Indiana University (IU) - Bloomington(Out-of-State),4.9,186000,78,4,31000
796,Jacksonville University(Private),4.9,183000,41,4,30600
796,"La Salle University - Philadelphia, PA(Private)",4.9,212000,66,4,40200
796,Long Island University - Brooklyn(Private),4.9,204000,32,6,28400
796,Loyola Marymount University(Private),4.9,233000,78,4,32500
796,"Marian University - Fond Du Lac, WI(Private)",4.9,144000,56,5,28900
796,Marist College(Private),4.9,196000,78,4,33500
796,"Marymount University - Arlington, VA(Private)",4.9,169000,51,4,30000
796,"Mount Saint Mary College - Newburgh, NY(Private)",4.9,172000,59,4,32600
796,Northwest Missouri State University(Out-of-State),4.9,90300,50,5,24600
796,"Northwood University - Midland, MI(Private)",4.9,143000,56,4,29600
796,Notre Dame of Maryland University(Private),4.9,184000,58,4,40000
796,Pennsylvania State University (Penn State) - Altoona Campus(In-State),4.9,124000,65,4,34000
796,SUNY - College of Environmental Science and Forestry (SUNY-ESF)(Out-of-State),4.9,136000,68,4,26000
796,Southern Nazarene University(Private),4.9,133000,46,4,26800
796,Southwest Missouri State University (SMSU)(Out-of-State),4.9,105000,55,5,25500
796,Springfield College in Illinois(Private),4.9,153000,51,5,25300
796,Stonehill College(Private),4.9,213000,82,4,30700
796,Temple University(Out-of-State),4.9,162000,69,5,34000
796,Texas A&M International University(Out-of-State),4.9,107000,45,5,16600
796,University of Hartford(Private),4.9,195000,53,4,40100
796,University of Indianapolis(Private),4.9,155000,52,4,32300
796,University of New Hampshire (UNH) - Main Campus(Out-of-State),4.9,174000,76,4,37400
796,University of Tulsa(Private),4.9,208000,70,4,36300
796,University of Wisconsin (UWP) - Parkside(Out-of-State),4.9,105000,31,5,23200
796,Villa Julie College(Private),4.9,177000,63,4,36300
796,Virginia State University (VSU)(In-State),4.9,83400,42,5,27500
796,Western Michigan University (WMU)(Out-of-State),4.9,147000,54,5,30900
